manhattan 36: tempo: 1.4368494999944232, nodi: 1211, explored_paths: 76, cost: 9
subgoal 36: tempo: 7.342182299995329, nodi: 2646, explored_paths: 137, cost: 13
relaxed 36: tempo: 156.71552929998143, nodi: 11531, explored_paths: 570, cost: 9
manhattan 37: tempo: 0.06456299999263138, nodi: 231, explored_paths: 12, cost: 8
subgoal 37: tempo: 12.687316700001247, nodi: 3466, explored_paths: 161, cost: 11
relaxed 37: tempo: 9.920183899987023, nodi: 2961, explored_paths: 132, cost: 8
manhattan 38: tempo: 0.49086150000221096, nodi: 641, explored_paths: 30, cost: 9
subgoal 38: tempo: 2.062637700000778, nodi: 1321, explored_paths: 61, cost: 12
relaxed 38: tempo: 214.5012279000075, nodi: 13991, explored_paths: 707, cost: 9
manhattan 39: tempo: 1.05480099999113, nodi: 996, explored_paths: 47, cost: 7
subgoal 39: tempo: 47.431182100001024, nodi: 7176, explored_paths: 395, cost: 11
relaxed 39: tempo: 349.29188069998054, nodi: 19461, explored_paths: 1117, cost: 8
manhattan 40: tempo: 0.25242949998937547, nodi: 471, explored_paths: 25, cost: 8
subgoal 40: tempo: 0.08822909998707473, nodi: 261, explored_paths: 12, cost: 9
relaxed 40: tempo: 0.9786682999983896, nodi: 896, explored_paths: 39, cost: 7
manhattan 41: tempo: 0.4398856999760028, nodi: 596, explored_paths: 26, cost: 8
subgoal 41: tempo: 1.9977142999996431, nodi: 1331, explored_paths: 57, cost: 8
relaxed 41: tempo: 3.5936272999970242, nodi: 1696, explored_paths: 73, cost: 6
manhattan 42: tempo: 2.23260940000182, nodi: 1406, explored_paths: 78, cost: 10
subgoal 42: tempo: 25.547675100009656, nodi: 4981, explored_paths: 234, cost: 10
relaxed 42: tempo: 0.1449828000040725, nodi: 331, explored_paths: 13, cost: 6
manhattan 43: tempo: 0.30992679999326356, nodi: 536, explored_paths: 35, cost: 10
subgoal 43: tempo: 8.306129900011001, nodi: 2801, explored_paths: 160, cost: 13
relaxed 43: tempo: 62.670517399994424, nodi: 7701, explored_paths: 393, cost: 9
manhattan 44: tempo: 0.04220759999589063, nodi: 181, explored_paths: 8, cost: 7
subgoal 44: tempo: 0.08997289999388158, nodi: 271, explored_paths: 11, cost: 9
relaxed 44: tempo: 0.40167039999505505, nodi: 586, explored_paths: 23, cost: 7
manhattan 45: tempo: 0.08065629997872747, nodi: 256, explored_paths: 12, cost: 7
subgoal 45: tempo: 600.1126494999917, nodi: 29816, explored_paths: 1840, cost: 0
relaxed 45: tempo: 21.82513289997587, nodi: 4996, explored_paths: 292, cost: 7
manhattan 46: tempo: 6.855140999978175, nodi: 2586, explored_paths: 143, cost: 8
subgoal 46: tempo: 6.759764300019015, nodi: 2511, explored_paths: 120, cost: 12
relaxed 46: tempo: 8.564194999984466, nodi: 2616, explored_paths: 115, cost: 8
manhattan 47: tempo: 0.07871469997917302, nodi: 246, explored_paths: 12, cost: 7
subgoal 47: tempo: 0.09708069998305291, nodi: 281, explored_paths: 13, cost: 9
relaxed 47: tempo: 3.201994899980491, nodi: 1671, explored_paths: 81, cost: 7
manhattan 48: tempo: 0.46333270001923665, nodi: 626, explored_paths: 29, cost: 9
subgoal 48: tempo: 84.94164669999736, nodi: 9516, explored_paths: 492, cost: 15
relaxed 48: tempo: 600.3177293000044, nodi: 29281, explored_paths: 1732, cost: 0
manhattan 49: tempo: 3.8472256000095513, nodi: 1861, explored_paths: 90, cost: 10
subgoal 49: tempo: 1.066156500019133, nodi: 976, explored_paths: 45, cost: 11
relaxed 49: tempo: 2.2885165000043344, nodi: 1361, explored_paths: 58, cost: 7
manhattan 50: tempo: 0.012798999989172444, nodi: 91, explored_paths: 4, cost: 4
subgoal 50: tempo: 0.014164499996695668, nodi: 91, explored_paths: 4, cost: 4
relaxed 50: tempo: 0.014388699986739084, nodi: 96, explored_paths: 4, cost: 4
manhattan 51: tempo: 0.1462011999974493, nodi: 341, explored_paths: 15, cost: 7
subgoal 51: tempo: 2.7074575999868102, nodi: 1526, explored_paths: 70, cost: 9
relaxed 51: tempo: 11.441302100021858, nodi: 3166, explored_paths: 139, cost: 6
manhattan 52: tempo: 0.13986329999170266, nodi: 331, explored_paths: 17, cost: 9
subgoal 52: tempo: 36.590861000004224, nodi: 6656, explored_paths: 371, cost: 17
relaxed 52: tempo: 600.0705580000067, nodi: 25421, explored_paths: 1399, cost: 0
manhattan 53: tempo: 0.38768759998492897, nodi: 571, explored_paths: 25, cost: 7
subgoal 53: tempo: 13.885941300017294, nodi: 3686, explored_paths: 180, cost: 6
relaxed 53: tempo: 1.0966339000151493, nodi: 926, explored_paths: 41, cost: 6
manhattan 54: tempo: 1.0691141999850515, nodi: 951, explored_paths: 43, cost: 8
subgoal 54: tempo: 9.558866000006674, nodi: 3146, explored_paths: 161, cost: 13
relaxed 54: tempo: 69.2967287999927, nodi: 8366, explored_paths: 413, cost: 8
manhattan 55: tempo: 0.08537750001414679, nodi: 256, explored_paths: 11, cost: 8
subgoal 55: tempo: 0.8868660000152886, nodi: 881, explored_paths: 47, cost: 12
relaxed 55: tempo: 34.782806399976835, nodi: 5446, explored_paths: 261, cost: 7
manhattan 56: tempo: 0.07780100000672974, nodi: 251, explored_paths: 14, cost: 7
subgoal 56: tempo: 0.18733240000437945, nodi: 401, explored_paths: 22, cost: 9
relaxed 56: tempo: 5.597902399982559, nodi: 2221, explored_paths: 110, cost: 7
manhattan 57: tempo: 0.11263509999844246, nodi: 301, explored_paths: 16, cost: 7
subgoal 57: tempo: 600.7356518000015, nodi: 29391, explored_paths: 1666, cost: 0
relaxed 57: tempo: 0.45029320000321604, nodi: 626, explored_paths: 28, cost: 7
manhattan 58: tempo: 0.034733899985440075, nodi: 156, explored_paths: 7, cost: 5
subgoal 58: tempo: 0.8012332000071183, nodi: 821, explored_paths: 36, cost: 7
relaxed 58: tempo: 1.9116076999926008, nodi: 1231, explored_paths: 55, cost: 5
manhattan 59: tempo: 0.3657740000053309, nodi: 581, explored_paths: 30, cost: 8
subgoal 59: tempo: 167.92590870001004, nodi: 12666, explored_paths: 703, cost: 15
relaxed 59: tempo: 1.2498155999928713, nodi: 1026, explored_paths: 47, cost: 6
manhattan 60: tempo: 0.11074300002655946, nodi: 291, explored_paths: 12, cost: 8
subgoal 60: tempo: 0.08815719999256544, nodi: 266, explored_paths: 10, cost: 8
relaxed 60: tempo: 0.683332699991297, nodi: 761, explored_paths: 29, cost: 7
manhattan 61: tempo: 0.04641750000882894, nodi: 186, explored_paths: 10, cost: 7
subgoal 61: tempo: 0.027248600003076717, nodi: 141, explored_paths: 7, cost: 7
relaxed 61: tempo: 0.07200779998674989, nodi: 236, explored_paths: 12, cost: 7
manhattan 62: tempo: 0.16506790000130422, nodi: 371, explored_paths: 19, cost: 6
subgoal 62: tempo: 0.02256760001182556, nodi: 126, explored_paths: 5, cost: 4
relaxed 62: tempo: 0.024075299996184185, nodi: 126, explored_paths: 5, cost: 4
manhattan 63: tempo: 8.868135199998505, nodi: 2861, explored_paths: 149, cost: 10
