119: tempo: 0.0001766681671142578, nodi: 7, explored_paths: 1, cost: 1
120: tempo: 0.0002789497375488281, nodi: 7, explored_paths: 1, cost: 1
121: tempo: 0.0008351802825927734, nodi: 15, explored_paths: 3, cost: 3
122: tempo: 0.0016074180603027344, nodi: 33, explored_paths: 7, cost: 4
123: tempo: 0.0003504753112792969, nodi: 11, explored_paths: 2, cost: 2
124: tempo: 0.002322673797607422, nodi: 53, explored_paths: 14, cost: 4
125: tempo: 0.0018928050994873047, nodi: 37, explored_paths: 9, cost: 4
126: tempo: 0.00011324882507324219, nodi: 5, explored_paths: 1, cost: 1
127: tempo: 0.002199888229370117, nodi: 53, explored_paths: 14, cost: 4
128: tempo: 0.0023033618927001953, nodi: 49, explored_paths: 13, cost: 5
129: tempo: 0.0021369457244873047, nodi: 39, explored_paths: 9, cost: 5
130: tempo: 0.0006463527679443359, nodi: 19, explored_paths: 4, cost: 3
131: tempo: 3.4332275390625e-05, nodi: 1, explored_paths: 0, cost: 0
132: tempo: 0.0014944076538085938, nodi: 29, explored_paths: 7, cost: 4
133: tempo: 0.0028052330017089844, nodi: 47, explored_paths: 11, cost: 4
134: tempo: 0.006567716598510742, nodi: 81, explored_paths: 18, cost: 5
135: tempo: 0.007317543029785156, nodi: 81, explored_paths: 18, cost: 5
136: tempo: 0.0010662078857421875, nodi: 23, explored_paths: 5, cost: 3
137: tempo: 0.0001690387725830078, nodi: 7, explored_paths: 1, cost: 1
138: tempo: 0.0002422332763671875, nodi: 9, explored_paths: 2, cost: 2
139: tempo: 0.0005660057067871094, nodi: 19, explored_paths: 4, cost: 3
140: tempo: 0.0007140636444091797, nodi: 21, explored_paths: 4, cost: 3
141: tempo: 0.0009641647338867188, nodi: 29, explored_paths: 7, cost: 4
142: tempo: 0.0010199546813964844, nodi: 27, explored_paths: 6, cost: 4
143: tempo: 0.004001140594482422, nodi: 71, explored_paths: 18, cost: 6
144: tempo: 0.0007205009460449219, nodi: 19, explored_paths: 4, cost: 3
145: tempo: 0.00480961799621582, nodi: 77, explored_paths: 20, cost: 6
146: tempo: 0.002096414566040039, nodi: 47, explored_paths: 12, cost: 4
147: tempo: 0.0019452571868896484, nodi: 49, explored_paths: 13, cost: 5
148: tempo: 0.00017404556274414062, nodi: 7, explored_paths: 2, cost: 2
149: tempo: 0.0010924339294433594, nodi: 27, explored_paths: 6, cost: 4
150: tempo: 0.0042266845703125, nodi: 73, explored_paths: 19, cost: 6
151: tempo: 0.0012054443359375, nodi: 35, explored_paths: 9, cost: 5
