179: tempo: 2.092534065246582, nodi: 1337, explored_paths: 96, cost: 7
180: tempo: 7.646846532821655, nodi: 2733, explored_paths: 190, cost: 8
181: tempo: 0.297405481338501, nodi: 449, explored_paths: 34, cost: 6
182: tempo: 6.4231226444244385, nodi: 2565, explored_paths: 200, cost: 8
183: tempo: 8.638468503952026, nodi: 3217, explored_paths: 257, cost: 7
184: tempo: 3.6066102981567383, nodi: 1909, explored_paths: 146, cost: 6
185: tempo: 39.415793895721436, nodi: 8069, explored_paths: 650, cost: 8
186: tempo: 0.3603208065032959, nodi: 521, explored_paths: 37, cost: 5
187: tempo: 1.1698637008666992, nodi: 901, explored_paths: 61, cost: 6
188: tempo: 6.200786590576172, nodi: 2401, explored_paths: 195, cost: 6
189: tempo: 0.0787653923034668, nodi: 257, explored_paths: 18, cost: 4
190: tempo: 0.8295490741729736, nodi: 825, explored_paths: 55, cost: 6
191: tempo: 0.7550797462463379, nodi: 833, explored_paths: 56, cost: 5
192: tempo: 2.274613618850708, nodi: 1565, explored_paths: 120, cost: 5
193: tempo: 1.2953705787658691, nodi: 1161, explored_paths: 92, cost: 5
194: tempo: 0.5195176601409912, nodi: 689, explored_paths: 50, cost: 6
195: tempo: 0.28327059745788574, nodi: 477, explored_paths: 31, cost: 6
196: tempo: 0.12291860580444336, nodi: 309, explored_paths: 23, cost: 5
197: tempo: 0.024228811264038086, nodi: 125, explored_paths: 8, cost: 5
198: tempo: 0.22586822509765625, nodi: 417, explored_paths: 28, cost: 6
199: tempo: 0.06899046897888184, nodi: 221, explored_paths: 13, cost: 4
